,case title,judges name(s),date of judgment,citation,issues,decision,cited cases
2495,C.G. Ghanshamdas & Ors vs Collector Of Madras,"Venkataramiah, E.S. (J)","12 September, 1986"," 1987 AIR  180, 1986 SCR  (3) 754","Section 8 in The Requisitioning and Acquisition of Immovable Property Act, 1952 ; Section 3 in The Requisitioning and Acquisition of Immovable Property Act, 1952 ; Article 3 in The Constitution Of India 1949 ; ",1,"{'e] sahadu gangaram bhagade v. spl. deputy collector, ahmedanagar & anr ': 0.8, 'y. venkanna choudhary v. government of india ': 0.8, 'laxshminarayana rao & ors. v. revenue divisional ': 0.8, 'm. ramachandran & ors. v. state of madras ': 0.8, 'balakrishnan nambiyar & ors. v. kanakathidathil madhavan & ors ': 0.8, 'ghouse saheb v. sharifa bi & ors., a ': 0.8, 'hirji virji jangbari v. government of bombay ': 0.8, 'crown v. chandrabhanlal and ors ': 1.0, 'mangal sen v. union of indian a ': 1.0, 'state of west bengal v. subodh gopal bose and ors ': 1.0, 'dwarkadas shrinivas of bombay v. the sholapur spinning & weaving co. ltd. and ors ': 1.0, 'in the state of west bengal v. subodh gopal bose and ors ': 1.0, 'in dwarkadas shrinivas of bombay v. the sholapur spinning & weaving co. ltd. and ors ': 1.0, 'hirji virji jangbari v. government of bombay a ': 1.0, 'in satya charan sur v. state of west bengal ': 1.0, 'srunguri lakshmi narayana rao & ors. v. revenue divisional ': 1.0, 'balakrishnan nambiyar & ors., v. kanakathidathil madhavan & ors ': 1.0, 'ghouse saheb v. sharifa bi & ors ': 1.0, 'kanwar jagat bahadur singh v. the punjab state ': 1.0, 'mangal sen v. union of india ': 1.0}"
2496,Ram Singh & Ors vs Gram Panchayat Mehal Kalan & Ors,"Venkataramiah, E.S. (J)","22 September, 1986"," 1986 AIR 2197, 1986 SCC  (4) 364",Article 136 in The Constitution Of India 1949 ; ,1,"{'bhagu & ors. v. ram sarup & ors ': 1.0, 'bhagu and ors., v. ram sarup and ors ': 1.0}"
2497,State Of Punjab vs Union Of India (Uoi) And Ors.,"A Sen, B Ray","24 September, 1986"," AIR 1987 SC 188, 1987 (35) BLJR 171, 1987 CRILJ 151, 1986 (0) KLT 1297 SC, 1986 (2) SCALE 718, (1986) 4 SCC 335, 1986 (2) UJ 693 SC",,1,{}
2498,Union Of India (Uoi) vs Tejinder Singh,"A Sen, B Ray","26 September, 1986"," 1986 (2) SCALE 860, (1991) 4 SCC 129",,1,{}
2499,Union Of India vs M/S. Godrej Soaps Pvt. Ltd And Anr,"Mukharji, Sabyasachi (J)","12 September, 1986"," 1987 AIR  175, 1986 SCR  (3) 771",Article 226 in The Constitution Of India 1949 ; ,1,"{'raj prakash chemicals ltd. & anr. v. union of india & ors ': 1.0, 'm/s indo afghan chambers of commerce and another v. union of india ': 1.0, 'raj prakash chemicals ltd. and another v. union of india & others ': 1.0}"
2500,"Kamaljeet Singh And Others vs Municipal Board, Pilkhwa And ...","A Sen, B Ray","2 September, 1986"," AIR 1987 SC 56, JT 1986 (1) SC 327, 1986 (2) SCALE 379, (1986) 4 SCC 174, 1986 (2) UJ 603 SC",Article 301 in The Constitution Of India 1949 ; ,1,{}
2501,H.C. Gargi vs State Of Haryana,"A Sen, B Ray","1 September, 1986"," AIR 1987 SC 65, (1987) ILLJ 102 SC, 1986 (2) SCALE 380, (1986) 4 SCC 158, 1986 (2) UJ 558 SC",,1,{}
2502,Raj Kumar Singh vs State Of Bihar & Ors,"Mukharji, Sabyasachi (J)","26 September, 1986"," 1986 AIR 2173, 1986 SCR  (3) 933",Section 395 in The Indian Penal Code ; ,0,"{'the barium chemicals ltd. and anr. v. the company law board and others ': 0.8, 'ichchu devi choraria v. union of india & ors ': 0.8, 'ibrahim ahmed batti v. state of gujarat and others ': 0.8, 'state of punjab v. jagdev singh talwandi ': 1.0, 'in vijay narain singh v. state of bihar & ors ': 1.0, 'ichchu devi chorana v. union of india & ors ': 1.0}"
2503,V. Sridharan Nair vs State Of Kerala & Ors,"Khalid, V. (J)","19 September, 1986"," 1986 AIR 2201, 1986 SCR  (3)1098",Article 32 in The Constitution Of India 1949 ; Article 226 in The Constitution Of India 1949 ; ,0,{}
2504,University Of Allahabad And Ors vs Amrit Chand Tripathi And Ors,"Reddy, O. Chinnappa (J)","2 September, 1986"," 1987 AIR   57, 1986 SCR  (3) 687","Section 28 in The Insurance Act, 1938 ; Section 51 in The Insurance Act, 1938 ; Section 45 in The Insurance Act, 1938 ; Section 52 in The Insurance Act, 1938 ; ",0,{}
2505,Tejinder Singh And Another Etc vs M/S. Bharat Petroleum ...,Misra Rangnath,"11 September, 1986"," 1987 AIR   51, 1986 SCC  (4) 237",Article 32 in The Constitution Of India 1949 ; Article 14 in The Constitution Of India 1949 ; ,0,"{'f-g] som prakash rekhi v. union of india & anr ': 0.8, 'workmen of the bharat petroleum corporation ltd. (refining division) bombay v. bharat petroleum corporation ltd. and another ': 0.8, 'm/s. british paints (india) ltd. v. its workmen ': 1.0, 'g.m. talang and others v. shaw wallace and co. & anr ': 1.0, 'in som prakash rekhi v. union of india & anr ': 1.0}"
2506,Rib Tapes (India) Pvt. Ltd. & Anr vs Union Of India & Ors,"Oza, G.L. (J)","2 September, 1986"," 1986 AIR 2014, 1986 SCR  (3) 697","Section 46 in the Customs Act, 1962 ; Section 77 in the Customs Act, 1962 ; section 111 a ; ",1,"{'union of india & ors. v. m/s. rai bahadur shree ram durga prasad (p) ltd. & ors ': 1.0, 'union of india & ors. v. m/s rai bahadur shree ram durga prasad (p) ltd. & ors ': 1.0}"
2507,"Smt. Madhu Khanna vs Administrator, Union Territory ...","M Dutt, O C Reddy","11 September, 1986"," AIR 1987 SC 48, 1987 CRILJ 318, 1987 (12) ECC 284, 1986 (26) ELT 197 SC, 1986 (2) SCALE 394, (1986) 4 SCC 240",Article 32 in The Constitution Of India 1949 ; ,0,{}
2508,Basavantappa vs Gangadhar Narayan Dharwadkar & ...,"Sen, A.P. (J)","10 September, 1986"," 1987 AIR   53, 1986 SCR  (3) 734",Article 127 in The Constitution Of India 1949 ; Article 166 in The Constitution Of India 1949 ; ,0,{'f-g] thangammal & ors. v. k. dhanalakshmi & anr ': 1.0}
2509,Star Diamond Co. India vs Union Of India & Ors,"Mukharji, Sabyasachi (J)","12 September, 1986"," 1987 AIR  179, 1986 SCR  (3) 781",Article 141 in The Constitution Of India 1949 ; ,0,"{'union of india v. rajnikant bros ': 0.8, 'raj prakash chemicals ltd. v. union of india ': 0.8, 'm/s. indo afghan chamber of commerce & ors. v. union of india ': 1.0, 'union of india v. m/s. godrej soaps pvt. ltd., (s.l.p.no ': 1.0, 'union of india v. m/s godrej soaps pvt. ltd & anr., (civil appeal no ': 1.0}"
2510,Laxman Sahu vs State Of Orissa,"A Sen, B Ray","30 September, 1986"," AIR 1988 SC 83, 1988 CRILJ 188, 1986 SUPP (1) SCC 555",,0,{'deo narain v. state of u.p ': 1.0}
2511,Suraj Pal Sahu vs State Of Maharashtra &Ors.;,"Mukharji, Sabyasachi (J)","25 September, 1986"," 1986 AIR 2177, 1986 SCR  (3) 837","Section 3 in The National Security Act, 1980 ; ",0,"{'g] ramesh yadav v. district magistrate, etah and others ': 0.8, 'mohd. subrati alias mohd. karim v. state of west bengal ': 0.8, 'rameshwar shaw v. district magistrate, burdwan & anr ': 0.8, 'makhan singh tarsikha v. state of punjab ': 0.8, 'rameshwar shah v. district magistrate burdwan & anr ': 0.8, 'makhan singh tarsikka v. state of punjab ': 0.8, 'maledath bharathan malyali v. the commissioner of police ': 0.8, 'golam hussain alias gama v. the commissioner of police calcutta and others ': 0.8, 'sahib singh dugal v. union of india ': 0.8, 'mohd. salim khan v. shri c.c. bose judgment ': 0.8, 'godavari shamrao parulekar v. state of maharashtra & others ': 1.0, 'gopi ram v. state of rajasthan ': 1.0, 'dulal roy v. the district magistrate, burdwan & others ': 1.0, 'dr. ramakrishna rawat v. district magistrate, jabalpur and another ': 1.0, 'the barium chemicals ltd. & anr. v. the company law board and others ': 1.0, 'prakash chandra mehta v. commissioner and secretary, government of kerala and others ': 1.0, 'in ramesh yadav v. district magistrate, etah and others ': 1.0, 'remeshwar shaw v. district magistrate, burdwan & anr ': 1.0, 'in makhan singh tarsikka v. state of punjab ': 1.0, 'in golam hussain alias gama v. the commissioner of police, calcutta and others ': 1.0, 'mohd. salim khan v. shri c.c. bose & another ': 1.0, 'borjahan gorey v. state of west bengal ': 1.0, 'in godavari shamrao parulekar v. state of maharashtra & others ': 1.0, 'in gopi ram v. state of rajasthan ': 1.0, 'golan hussain alia gama v. commissioner of police, calcutta, and others ': 1.0, 'in vijay narain singh v. state of bihar & ors ': 1.0, 'in prakash chandra mehta v. commissioner and secretary, government of kerala and others ': 1.0}"
2512,Vidharbha Sikshan Vyawasthapak ... vs State Of Maharashtra And Ors.,"M Dutt, O C Reddy","22 September, 1986"," AIR 1987 SC 135, 1987 (2) SCALE 481, (1986) 4 SCC 361, 1986 (2) UJ 585 SC",Article 14 in The Constitution Of India 1949 ; Article 226 in The Constitution Of India 1949 ; ,0,{}
2513,"Director General, ... vs T.N. Peethambaram","Thakkar, M.P. (J)","19 September, 1986"," 1987 AIR  162, 1986 SCR  (3) 828",,1,{}
2514,Jeet Singh And Ors. vs M.C.D. And Ors.,"R Pathak, S Mukharji","8 September, 1986"," AIR 1987 SC 1781, 1988 LABLC 106, 1986 SUPP (1) SCC 560",,1,{}
2515,Parvati & Ors vs Fatehsinhrao Pratapsinhrao ...,"Ray, B.C. (J)","18 September, 1986"," 1986 AIR 2204, 1986 SCR  (3) 793","Section 4 in The Insurance Act, 1938 ; Section 89 in The Insurance Act, 1938 ; Section 3 in The Insurance Act, 1938 ; ",0,"{'f] mohanlal chunilal kothari v. tribhovan haribhai tamboli ': 0.8, 'sidram narsappa kamble v. sholapur borough municipality and anr ': 0.8, 'sakharam @, bapusaheb narayan sanas and anr. v. manikchand motichand shah and anr ': 1.0, 'sakharam @ bapusaheb narayan sanas and anr. v. manikchand motichand shah and anr ': 1.0, 'sidram narsappa kamble v. sholapur borough municipality & anr ': 1.0}"
2516,Panipat Woollen & General Mills ... vs Union Of India & Others,"Dutt, M.M. (J)","26 September, 1986"," 1986 AIR 2082, 1986 SCR  (3) 937",Article 31 in The Constitution Of India 1949 ; ,0,"{'a. k. kraipak & ors. v. union of india & ors ': 0.8, 'maneka gandhi v. union of india ': 0.8, 'smt. indira nehru gandhi v. shri raj narain ': 1.0, 'kesavananda bharati v. state of kerala ': 1.0}"
2517,Gramin Sewa Sanstha vs State Of M.P. And Ors.,"P Bhagwati, R Misra","16 September, 1986"," 1986 (2) SCALE 682, 1986 SUPP SCC 578",,0,{}
2518,M. Asghar vs Union Of India (Uoi) And Ors.,"M Dutt, O C Reddy","18 September, 1986"," AIR 1987 SC 165, 1986 60 COMPCAS 1101 SC, JT 1986 (1) SC 464, (1987) ILLJ 440 SC, 1986 (2) SCALE 429, (1986) 4 SCC 283, 1987 (3) SLJ 207 SC, 1986 (2) UJ 589 SC","Section 21 in The Textile Undertakings (Nationalisation) Act, 1995 ; Section 27 in The Textile Undertakings (Nationalisation) Act, 1995 ; Section 22 in The Textile Undertakings (Nationalisation) Act, 1995 ; article 39 b ; ",0,{}
2519,Rajasthan Commercial ... vs Sales Tax Commissioner And Ors.,"G Oza, V Khalid","19 September, 1986"," AIR 1986 SC 2200, 1986 (2) SCALE 466, (1986) 4 SCC 350, 1986 63 STC 314 SC, 1987 (1) UJ 259 SC","Section 15 in the Central Excise Act, 1944 ; ",0,"{'judgment v. khalid, j ': 1.0, 'govind sharan ganga sharan v. commissioner of sales tax and ors. the ': 1.0}"
2520,P. & S. Export Corporation vs Deputy Director Of Enforcement,"K Singh, M Thakkar","2 September, 1986"," AIR 1986 SC 2017, 1986 (34) BLJR 717, 1987 61 COMPCAS 485 SC, 1987 CRILJ 539, 1986 (3) CRIMES 466 SC, 1987 (11) ECC 285, 1986 (26) ELT 292 SC, JT 1986 (1) SC 319, 1986 (2) SCALE 376, (1986) 4 SCC 190","Section 12 in The Foreign Exchange Regulation Act, 1973 ; Section 23 in The Foreign Exchange Regulation Act, 1973 ; ",0,{}
2521,Ishtiaq Hussain Farooqui vs State Of U.P. And Ors.,"A Sen, B Ray","29 September, 1986"," AIR 1988 SC 93, 1988 CRILJ 189, 1986 SUPP (1) SCC 531",Article 32 in The Constitution Of India 1949 ; ,0,{'gulam abbas v. state of uttar pradesh ': 1.0}
2522,Heir Of Deceased Maharaj ... vs Collector Of Junagad District And ...,"R Pathak, R Misra","9 September, 1986"," AIR 1986 SC 2094, 1986 (2) SCALE 400 A, (1986) 4 SCC 287, 1986 3 SCR 705",,1,{}
2523,President Association Of ... vs State Of Maharashtra,"P.N. Bhagwati (Cj), M.M. Dutt, G.L. Oza, R. Misra, V. Khalid","23 September, 1986",,,1,{}
2524,Govardhandas Narasinghdas Daga ... vs Union Of India (Uoi) And Ors.,"M Dutt, O C Reddy","10 September, 1986"," AIR 1987 SC 55, 1987 61 COMPCAS 1 SC, JT 1986 (1) SC 385, 1986 (2) SCALE 399, (1986) 4 SCC 249, 1986 (2) UJ 596 SC",,0,{}
2525,"Sharadendu Bhushan vs Nagpur University, Nagpur And ...","A Sen, B Ray","29 September, 1986"," AIR 1988 SC 335, 1988 LABLC 906, 1987 SUPP (1) SCC 53",,0,{}
2526,Naib Singh vs State Of Punjab,"A Sen, B Ray","23 September, 1986"," AIR 1986 SC 2192, 1987 (35) BLJR 166, 1986 CRILJ 2061, JT 1986 (1) SC 511, 1986 (2) SCALE 476, (1986) 4 SCC 401, 1986 (2) UJ 620 SC",Section 324 in The Indian Penal Code ; Section 326 in The Indian Penal Code ; Section 320 in The Indian Penal Code ; ,0,{}
2527,Fine Knitting Co. Ltd. And Ors. vs Union Of India (Uoi) And Ors.,"M Dutt, O C Reddy","17 September, 1986"," AIR 1987 SC 167, 1986 60 COMPCAS 1083 SC, JT 1986 (1) SC 450, 1986 (2) SCALE 442, (1986) 4 SCC 276, 1986 (2) UJ 610 SC",,0,"{'the fine knitting company limited v. the industrial ': 1.0, 'in the fine knitting company limited v. the industrial ': 1.0}"
2528,Basant Roadways vs State Transport Appellate ...,"Venkataramiah, E.S. (J)","30 September, 1986"," 1987 AIR  116, 1986 SCR  (3)1002",Article 136 in The Constitution Of India 1949 ; ,0,{}
2529,Lodha Colliery Company Ltd. & Ors vs Union Of India & Ors,"P.N. Bhagwati Cj, R. Misra, V. Khalid, G.L. Oza, M.M. Dutt","18 September, 1986",,,0,{'tara prasad singh v. union of india ': 1.0}
2530,Special Works And Research Center ... vs State Of Rajasthan,"P Bhagwati, M Dutt, G Oza","26 September, 1986"," 1986 (2) SCALE 688, 1986 SUPP (1) SCC 561",,0,{}
2531,Minerva Mills Ltd. & Ors. Etc. Etc vs Union Of India & Ors,"Dutt, M.M. (J)","9 September, 1986"," 1986 AIR 2030, 1986 SCR  (3) 718","Section 16 in The Coal Mines (Nationalisation) Act, 1973 ; Article 39 in The Constitution Of India 1949 ; ",0,"{'keshav mills co. ltd. v. union of india ': 1.0, 'waman rao v. union of india ': 1.0, 'bhim singhji v. union of india ': 1.0}"
2532,Pandurang & Ors vs State Of Maharashtra,"Thakkar, M.P. (J)","30 September, 1986"," 1987 AIR  535, 1986 SCR  (3)1004","Section 16 in The Prevention of Food Adulteration Act, 1954 ; Section 17 in The Prevention of Food Adulteration Act, 1954 ; Section 7 in The Prevention of Food Adulteration Act, 1954 ; ",0,{'d] state of madhya pradesh v. dewadas & ors ': 1.0}
2533,State Of Maharashtra vs Smt. Banabai And Anr.,"A Sen, B Ray","17 September, 1986"," AIR 1987 SC 173, 1986 (2) SCALE 444, (1986) 4 SCC 281, 1986 (2) UJ 587 SC","Article 227 in The Constitution Of India 1949 ; Section 4 in The Hindu Succession Act, 1956 ; Section 6 in The Hindu Succession Act, 1956 ; Section 19 in The Hindu Succession Act, 1956 ; ",1,{'bhikoba shankar dhumal and ors. v. mohan lal punchand tathed and ors ': 1.0}
2534,V.N. Shastry And Ors. vs State Of Andhra Pradesh And Ors.,"R Misra, S Natarajan","22 September, 1986"," AIR 1987 SC 1003, 1987 LABLC 700, 1987 (1) SCALE 217, (1987) 1 SCC 23",,1,{}
2535,Rajendra Prasad And Anr. vs State Of Bihar,"A Sen, B Ray","12 September, 1986"," AIR 1987 SC 1335, 1988 (36) BLJR 192, 1987 CRILJ 1069, (1987) 1 SCC 64",Section 34 in The Indian Penal Code ; ,0,{}
2536,Rita Textiles P. Ltd. And Ors. vs Union Of India (Uoi) And Ors.,"P Bhagwati, M Dutt, G Oza","23 September, 1986"," AIR 1987 SC 1747, 1987 (14) ECC 133, 1988 (35) ELT 611 SC, 1986 SUPP (1) SCC 557",,0,{'union of india v. modi rubber ltd ': 1.0}
2537,"Krishna Kurup vs General Manager, Gujarat ...","M Dutt, O C Reddy","18 September, 1986"," AIR 1987 SC 163, 1986 (34) BLJR 774, 1987 LABLC 32, 1986 (2) SCALE 440, (1986) 4 SCC 375, 1986 (2) UJ 592 SC",,0,{}
2538,M.D.N. Panikar And Ors. vs S.A.I.L. And Anr.,"M Dutt, O C Reddy","2 September, 1986"," AIR 1987 SC 1347, (1987) 1 SCC 63",,0,{}
2539,Bijli Cotton Mills Pvt. Ltd. And ... vs Union Of India (Uoi) And Ors.,"M Dutt, O C Reddy","5 September, 1986"," AIR 1987 SC 244, 1986 (2) SCALE 393, (1986) 4 SCC 184, 1986 (2) UJ 594 SC",,0,"{'dr. v. sudarshini, bengaluru vs income tax officer, ... on 8 february, 2019 ': 1.0}"
2540,R.G. Shaw And Co. Ltd. vs Shaw Wallace And Co. Ltd. And ...,"R Pathak, S Natarajan, S Mukharji","26 September, 1986"," 1986 (2) SCALE 1265, (1987) 1 SCC 82",,0,{}
2541,Vidarbha Mills Berar Ltd. And Anr. vs Union Of India (Uoi) And Ors.,"M Dutt, O C Reddy","10 September, 1986"," AIR 1987 SC 378, 1986 (2) SCALE 400, (1986) 4 SCC 248, 1986 (2) UJ 597 SC",,0,{}
2542,State Of Madhya Pradesh & Ors vs Nandlal Jaiswal & Ors,"Bhagwati, P.N. (Cj)","24 October, 1986"," 1987 AIR  251, 1987 SCR  (1)	  1","Article 14 in The Constitution Of India 1949 ; Section 2 in The Registration Act, 1908 ; Section 62 in The Registration Act, 1908 ; Article 226 in The Constitution Of India 1949 ; ",0,"{'f] state of orissa & ors. v. harinarayan jaiswal & ors ': 0.8, 'l.g. chaudhari v. secretary, l.s.g. deptt ': 0.8, 'ramanna daygram shetty v. international airport authori ': 0.8, 'ashok kumar mishra & anr. v. collector raipur & ors ': 1.0, 'kasturi lal lakshmi reddv v. state of j & k ': 1.0, 'ramanna dayaram shetty v. international airport authority of india & ors ': 1.0, 'kasturi lal lakshmi reddy v. state of jammu & kashmir ': 1.0}"
2543,Institute Of Chartered ... vs L.K. Ratna & Others,"Pathak, R.S.","21 October, 1986"," 1987 AIR   71, 1986 SCR  (3)1048","Section 21 in the Chartered Accountants Act, 1949 ; ",0,"{'b] manek lal v. dr. prem chand ': 0.8, 'chandra bhavan boarding and lodging bangalore v. the state of mysore and anr ': 0.8, 'k.l. tripathi v. state bank of india and others ': 1.0, 'chandra bhavan boarding and lodging, bangalore v. the state of mysore and anr ': 1.0}"
2544,"Jagbir Singh & Ors vs General Manager, Punjab Roadways ...","Khalid, V. (J)","24 October, 1986"," 1987 AIR   70, 1986 SCR  (3)1095","Section 110 in The Motor Vehicles Act, 1988 ; ",0,"{'smt. chameli wati & anr. v. municipal corporation of delhi & ors ': 1.0, 'smt. chameli wati & anr. v. delhi municipal corporation of delhi and others ': 1.0}"
2545,"Late Nawab Sir Mir Osman Ali Khan vs Commissioner Of Wealth Tax, ...","Mukharji, Sabyasachi (J)","21 October, 1986"," 1987 AIR  522, 1986 SCR  (3)1072","Section 2 in The Income- Tax Act, 1995 ; Section 9 in The Income- Tax Act, 1995 ; Section 22 in The Income- Tax Act, 1995 ; section 22 of income tax act ; ",0,"{'commissioner of income tax, a.p. hyderabad v. nawab mir barkat ali khan ': 0.8, 'commissioner of wealth-tax, west bengal v. bishwanath chatterjee and others ': 0.8, 'raja mohammad amir ahmed khan v. municipal board of sitapur and another ': 0.8, 'commissioner of wealth-tax, gujarat-iv v. h.h. maharaja f.p. gaekwad ': 0.8, 'commissioner of income-tax, a.p. hyderabad v. nwab mir barkat ali khan ': 0.8, 'commissioner of wealth-tax, a.p. v. trustees of h.e.h. nizam ': 0.8, 'r.b. jodha mal kuthiala v. commissioner of income-tax, punjab, jammu & kashmir and himachal pradesh ': 0.8, 'commissioner of wealth-tax- gujarat-i v. kum manna g. sarabhai ': 0.8, 'commissioner of income-tax, gujarat v. ashaland corporation ': 0.8, 'commissioner of income-tax, bombay city iii v. smt. t.p. sidhwa ': 0.8, 'smt. kala rani v. commissioner of income-tax, patiala i ': 0.8, 'mrs. m.p. gnanambal v. commissioner of income-tax, madras ': 1.0, 's.b. (house & land) pvt. ltd. v. commissioner of income-tax, west bengal ': 1.0, 'commissioner of income-tax bihar v. sahay properties and investment co. (p) ltd ': 1.0, 'sahu govind prasad v. commissioner of income-tax ': 1.0, 'ahmed g.h. ariff and others v. commissioner of wealth ': 1.0, 'commissioner of wealth-tax gujarat v. arundhati balkrishna ': 1.0, 'commissioner of wealth-tax, rajasthan v. her highness maharani gayatri devi of jaipur ': 1.0, 'commissioner of wealth-tax, lucknow v. p.k. banerjee ': 1.0, 'h.h. maharajadhiraja madhav rao jiwaji rao scindia bahadur & ors. v. union of india ': 1.0, 'commissioner of income-tax, a.p., hyderabad v. nawab mir barkat ali khan ': 1.0, 'commissioner of wealth- tax, west bengal, v. bishwanath chatterjee and others ': 1.0, 'in commissioner of wealth-tax, a.p. v. trustees of h.e.h. nizam ': 1.0, 'in commissioner of income-tax, a.p. hyderabad v. nwab mir barkat ali khan ': 1.0, 'commissioner of income- tax, bombay city-iii v. smt. t.p. sidhwa ': 1.0, 'commissioner of wealth- tax, gujarat-iv v. h.h. maharaja f.p. gaekwad ': 1.0, 'smt. kala rani v. commissioner of income-tax, patiala-i ': 1.0, 'in ahmed g.h. ariff and others v. commissioner of wealth-tax, calcutta ': 1.0, 'in commissioner of wealth-tax gujarat v. arundhati balkrishna ': 1.0, 'in commissioner of wealth-tax, rajasthan v. her highness maharani gayatri devi of jaipur ': 1.0, 'in commissioner of wealth-tax, lucknow v. p.k. banerjee ': 1.0}"
